Date,PortfolioClose,HedgeClose
,PortfolioClose,HedgeClose
2022-11-14,280.0754089355469,379.1961669921875
2022-11-15,283.9512023925781,382.4303894042969
2022-11-16,280.0754089355469,379.512939453125
2022-11-17,279.4572448730469,378.3516540527344
2022-11-18,279.46710205078125,380.0695495605469
2022-11-21,276.5921325683594,378.68756103515625
2022-11-22,280.5758056640625,383.78350830078125
2022-11-23,283.39190673828125,386.2019958496094
2022-11-25,281.527587890625,386.1156311035156
2022-11-28,277.396728515625,379.954345703125
2022-11-29,275.29693603515625,379.3017883300781
2022-11-30,287.84649658203125,391.25
2022-12-01,288.19976806640625,390.9621276855469
2022-12-02,287.05169677734375,390.51104736328125
2022-12-05,282.23406982421875,383.48602294921875
2022-12-06,276.3860168457031,377.958251953125
2022-12-07,275.2577209472656,377.31524658203125
2022-12-08,278.5152893066406,380.27099609375
2022-12-09,276.7393493652344,377.430419921875
2022-12-12,280.2127685546875,382.871826171875
2022-12-13,283.2250671386719,385.7701416015625
2022-12-14,281.1253356933594,383.3037414550781
2022-12-15,271.6861572265625,373.927490234375
2022-12-16,269.095703125,369.5128479003906
2022-12-19,265.31396484375,366.3794860839844
2022-12-20,265.107421875,366.88079833984375
2022-12-21,268.953125,372.3665771484375
2022-12-22,262.3731384277344,367.0543518066406
2022-12-23,262.9632568359375,369.16571044921875
2022-12-27,259.2453918457031,367.7099609375
2022-12-28,255.82260131835938,363.14007568359375
2022-12-29,262.058349609375,369.67669677734375
2022-12-30,261.9010314941406,368.7029724121094
2023-01-03,260.13067626953125,367.1507263183594
2023-01-04,261.369873046875,369.9852600097656
2023-01-05,257.2782897949219,365.76251220703125
2023-01-06,264.3795166015625,374.1501770019531
2023-01-09,266.09100341796875,373.9381103515625
2023-01-10,268.3432922363281,376.56048583984375
2023-01-11,272.98565673828125,381.3231201171875
2023-01-12,274.46099853515625,382.71142578125
2023-01-13,276.3495178222656,384.1961364746094
2023-01-17,276.91009521484375,383.49237060546875
2023-01-18,273.3102111816406,377.4377746582031
2023-01-19,270.6251525878906,374.6900329589844
2023-01-20,278.0313415527344,381.6701965332031
2023-01-23,284.2080993652344,386.24969482421875
2023-01-24,283.62774658203125,385.8351745605469
2023-01-25,282.9982604980469,385.97979736328125
2023-01-26,288.5159606933594,390.2217712402344
2023-01-27,291.3879699707031,391.11846923828125
2023-01-30,285.49652099609375,386.21112060546875
2023-01-31,289.7749328613281,391.8897705078125
2023-02-01,295.9713439941406,396.0546569824219
2023-02-02,306.5937805175781,401.820068359375
2023-02-03,301.1448974609375,397.5489807128906
2023-02-06,298.597412109375,395.11956787109375
2023-02-07,304.7840576171875,400.287109375
2023-02-08,299.3646240234375,395.9100341796875
2023-02-09,296.7189025878906,392.47784423828125
2023-02-10,294.771484375,393.3937072753906
2023-02-13,299.4924621582031,398.0118103027344
2023-02-14,301.70550537109375,397.82867431640625
2023-02-15,304.0168762207031,399.12054443359375
2023-02-16,298.3122253417969,393.6251220703125
2023-02-17,296.20745849609375,392.6416931152344
2023-02-21,289.1946105957031,384.7649841308594
2023-02-22,289.4111022949219,384.2347412109375
2023-02-23,291.938720703125,386.27862548828125
2023-02-24,287.0504455566406,382.15228271484375
2023-02-27,289.10614013671875,383.45379638671875
2023-02-28,288.7323913574219,382.03662109375
2023-03-01,286.4112243652344,380.5710754394531
2023-03-02,288.78155517578125,383.5308837890625
2023-03-03,294.75177001953125,389.68194580078125
2023-03-06,295.0861511230469,389.9518737792969
2023-03-07,291.4666442871094,383.97442626953125
2023-03-08,292.9223327636719,384.6011047363281
2023-03-09,287.84722900390625,377.5052795410156
2023-03-10,283.80474853515625,372.0581359863281
2023-03-13,285.9095764160156,371.5278015136719
2023-03-14,292.4797668457031,377.6691589355469
2023-03-15,294.0141296386719,375.30712890625
2023-03-16,301.7645263671875,381.8919677734375
2023-03-17,300.33837890625,377.4266052246094
2023-03-20,301.40423583984375,381.0557861328125
2023-03-21,305.708984375,386.05926513671875
2023-03-22,301.552001953125,379.4783020019531
2023-03-23,305.1278381347656,380.504150390625
2023-03-24,306.2508239746094,383.00103759765625
2023-03-27,304.152587890625,383.7171630859375
2023-03-28,302.5370178222656,382.8558654785156
2023-03-29,308.0534362792969,388.4206237792969
2023-03-30,310.9692687988281,390.6949768066406
2023-03-31,316.1409912109375,396.2016906738281
2023-04-03,315.37261962890625,397.7113952636719
2023-04-04,314.3086853027344,395.5048522949219
2023-04-05,311.20574951171875,394.4693603515625
2023-04-06,313.3039245605469,396.0080871582031
2023-04-10,313.1266174316406,396.41448974609375
2023-04-11,311.1170654296875,396.5209655761719
2023-04-12,308.3686828613281,394.9047546386719
2023-04-13,314.4072265625,400.15020751953125
2023-04-14,313.816162109375,399.1727294921875
2023-04-17,314.08209228515625,400.6050720214844
2023-04-18,314.101806640625,400.86627197265625
2023-04-19,313.95404052734375,400.7986145019531
2023-04-20,311.5603332519531,398.6114501953125
2023-04-21,311.8853759765625,398.92108154296875
2023-04-24,311.2352600097656,399.3372497558594
2023-04-25,305.3642272949219,392.99822998046875
2023-04-26,307.2162170410156,391.33367919921875
2023-04-27,315.5696105957031,399.1243591308594
2023-04-28,317.7466735839844,402.5309753417969
2023-05-01,317.3822021484375,402.1244812011719
2023-05-02,314.61407470703125,397.6048583984375
2023-05-03,312.5552978515625,394.8757019042969
2023-05-04,311.4519958496094,392.078857421875
2023-05-05,318.07171630859375,399.3372497558594
2023-05-08,318.8597717285156,399.4437561035156
2023-05-09,316.8404235839844,397.6920166015625
2023-05-10,320.2881774902344,399.5501708984375
